id,artist_lastfm,listeners_lastfm,scrobbles_lastfm
989,Suzanne Vega,,
990,The Walkmen,,
991,Porcupine Tree,,
992,Miguel,,
993,Twisted Sister,,
994,Death from Above 1979,,
995,Olly Murs,,
996,The Neighbourhood,,
997,The Pogues,,
998,The Futureheads,,
999,Matt Nathanson,,
1000,Chris Isaak,,
1001,Amos Lee,,
1002,Tycho,,
1003,She & Him,,
1004,Icona Pop,,
1005,Cheap Trick,,
1006,Eagles of Death Metal,,
1007,Max Richter,,
1008,Gary Jules,,
1009,Dizzee Rascal,,
1010,Lindsay Lohan,,
1011,Madness,,
1012,Frank Zappa,,
1013,Washed Out,,
1014,Keith Urban,,
1015,Sugarcult,,
1016,Infected Mushroom,,
1017,Ólafur Arnalds,,
1018,Cam'ron,,
1019,Meat Loaf,,
1020,Jamie Foxx,,
1021,Commodores,,
1022,Chiddy Bang,,
1023,Alexi Murdoch,,
1024,The Moody Blues,,
1025,Devo,,
1026,Poison,,
1031,Vance Joy,,
1032,The Rasmus,,
1033,John Denver,,
1034,Charli XCX,,
1035,Michelle Branch,,
1036,Antony and the Johnsons,,
1037,The 1975,,
1038,Aqualung,,
1039,Madeleine Peyroux,,
1040,Flying Lotus,,
1041,Twenty One Pilots,,
1042,Adam Lambert,,
1043,Method Man,,
1044,Estelle,,
1045,Paul Oakenfold,,
1046,Steely Dan,,
1047,Kenny Loggins,,
1048,Daughter,,
1049,Andy Williams,,
1050,Sick Puppies,,
1051,Ja Rule,,
1052,Skid Row,,
1053,The Academy Is...,,
1054,"Tyler, the Creator",,
1055,The B-52's,,
1056,Plies,,
1057,Feeder,,
1058,Red,,
1059,Orchestral Manoeuvres in the Dark,,
1060,Neon Trees,,
1061,Aimee Mann,,
1062,Tim McGraw,,
1063,Twista,,
1064,Rogue Wave,,
1065,Pat Benatar,,
1066,Five for Fighting,,
1067,Walk the Moon,,
1068,Sarah Vaughan,,
1069,LL Cool J,,
1070,Amerie,,
1071,Scooter,,
1072,Ben Folds Five,,
1073,Tove Lo,,
1074,CHVRCHES,,
1075,Mr. Scruff,,
1076,The Pretty Reckless,,
1077,The Wanted,,
1078,Thelonious Monk,,
1079,REO Speedwagon,,
1080,Reel Big Fish,,
1081,Jurassic 5,,
1082,The Magnetic Fields,,
1083,Ill Niño,,
1084,The Cribs,,
1085,Aqua,,
1086,Don McLean,,
1087,Blake Shelton,,
1088,Edvard Grieg,,
1089,Róisín Murphy,,
1090,Underoath,,
1091,The New Pornographers,,
1092,múm,,
1093,Don Henley,,
1094,Ricky Martin,,
1095,Fat Joe,,
1096,Daddy Yankee,,
1097,Peaches,,
1100,Dinah Washington,,
1101,A Fine Frenzy,,
1102,John Mellencamp,,
1103,Kaskade,,
1104,House of Pain,,
1105,Tosca,,
1106,Atmosphere,,
1107,Mayday Parade,,
1108,Ben E. King,,
1109,Three 6 Mafia,,
1110,Chris Rea,,
1111,Kid Rock,,
1112,Martin Garrix,,
1113,Jackson Browne,,
1114,Haddaway,,
1115,Dirty Pretty Things,,
1116,MSTRKRFT,,
1117,The Whitest Boy Alive,,
1118,Buzzcocks,,
1119,Iggy Azalea,,
1120,Girls Aloud,,
1121,Paul van Dyk,,
1122,Culture Club,,
1123,Thousand Foot Krutch,,
1124,10cc,,
1125,Relient K,,
1126,The Dead Weather,,
1127,Darude,,
1128,12 Stones,,
1129,Capital Cities,,
1130,Hurts,,
1131,Toby Keith,,
1132,Paul McCartney & Wings,,
1133,William Fitzsimmons,,
1134,Mat Kearney,,
1135,Silverstein,,
1136,Crazy Town,,
1137,Leftfield,,
1138,Sophie Ellis-Bextor,,
1139,Badly Drawn Boy,,
1140,Ladyhawke,,
1141,Flume,,
1142,Bad Company,,
1143,The Ronettes,,
1144,Jason Aldean,,
1145,Ace Hood,,
1146,Brett Dennen,,
1147,Franz Liszt,,
1148,Kygo,,
1149,Soundtrack,,
1150,The Ataris,,
1151,Delerium,,
1152,Asher Roth,,
1153,Rudimental,,
1154,The Horrors,,
1155,Metro Station,,
1156,Iyaz,,
1157,James Vincent McMorrow,,
1158,The Turtles,,
1159,Zebrahead,,
1160,Thomas Newman,,
1161,The-Dream,,
1162,Anastacia,,
1163,Tech N9ne,,
1164,Cassie,,
1165,Luther Vandross,,
1166,Jack's Mannequin,,
1167,Antonín Dvořák,,
1168,Édith Piaf,,
1169,The Specials,,
1170,Basshunter,,
1171,Nena,,
1172,The Antlers,,
1173,John Frusciante,,
1174,DragonForce,,
1175,St. Germain,,
1176,Phantogram,,
1177,Charles Mingus,,
1178,Dexys Midnight Runners,,
1179,Koop,,
1180,Little Boots,,
1181,Primus,,
1182,Senses Fail,,
1183,Carla Bruni,,
1184,Black Kids,,
1185,Mew,,
1186,Gotan Project,,
1187,First Aid Kit,,
1189,Dixie Chicks,,
1190,Stan Getz,,
1191,At the Drive-In,,
1192,Keyshia Cole,,
1193,Frankie Goes to Hollywood,,
1194,Future,,
1195,Ashley Tisdale,,
1196,Sleigh Bells,,
1197,The Mountain Goats,,
1198,Harry Nilsson,,
1199,Le Tigre,,
1200,"""""Weird Al"""" Yankovic",,
1201,God Is An Astronaut,,
1202,Madvillain,,
1203,Isaac Hayes,,
1204,Wyclef Jean,,
1205,They Might Be Giants,,
1206,Rita Ora,,
1207,EVE 6,,
1208,Bobby Darin,,
1209,Stromae,,
1210,Something Corporate,,
1211,The Go! Team,,
1212,Say Anything,,
1213,Minus the Bear,,
1214,Perry Como,,
1215,Brenda Lee,,
1216,HAIM,,
1217,Flux Pavilion,,
1218,Solange,,
1219,Jonas Brothers,,
1220,Julie London,,
1221,The Head and the Heart,,
1222,Gary Moore,,
1223,Funeral for a Friend,,
1224,The Weepies,,
1225,The Rakes,,
1226,Donavon Frankenreiter,,
1227,Pennywise,,
1228,Mystery Jets,,
1229,Neon Indian,,
1230,The Alan Parsons Project,,
1231,Spandau Ballet,,
1232,Yo Gotti,,
1233,MC Hammer,,
1234,Okkervil River,,
1235,Blackstreet,,
1236,Jimmy Cliff,,
1237,Cold,,
1238,Juelz Santana,,
1239,Sugar Ray,,
1242,Buena Vista Social Club,,
1243,4 Non Blondes,,
